Дата,Не проиндексировано,Проиндексированные,Показы
2026-08-13,,,3
2026-08-14,291,623,67
2026-08-15,704,1796,520
2026-08-16,704,1796,1374
2026-08-17,704,1796,1341
2026-08-18,12192,11398,1159
2026-08-19,12192,11398,806
2026-08-20,12192,11398,942
2026-08-21,12192,11398,716
2026-08-22,12627,11808,702
2026-08-23,12627,11808,1150
2026-08-24,12627,11808,755
2026-08-25,12627,11808,827
2026-08-26,12627,11808,514
2026-08-27,12627,11808,663
2026-08-28,12627,11808,682
