Причина,Источник,Проверка,Страницы
Не найдено (404),Сайт,Не начато,936
Вариант страницы с тегом canonical,Сайт,Не начато,18
Ошибка сервера (5xx),Сайт,Не начато,1
"Обнаружена, не проиндексирована",Системы Google,Не начато,11594
"Страница просканирована, но пока не проиндексирована",Системы Google,Не начато,78
